coarse_chr	coarse_bid	coarse_start	coarse_end	fine_bid	fine_start	fine_end	child_index	n_children_for_coarse	child_offset_bp
chr1	26	104000000	108000000	105	105000000	106000000	1	4	1000000
chr1	26	104000000	108000000	106	106000000	107000000	2	4	2000000
chr1	26	104000000	108000000	107	107000000	108000000	3	4	3000000
chr1	27	108000000	112000000	108	108000000	109000000	0	4	0
chr1	27	108000000	112000000	109	109000000	110000000	1	4	1000000
chr1	27	108000000	112000000	110	110000000	111000000	2	4	2000000
chr1	27	108000000	112000000	111	111000000	112000000	3	4	3000000
chr1	28	112000000	116000000	112	112000000	113000000	0	4	0
chr1	28	112000000	116000000	113	113000000	114000000	1	4	1000000
chr1	28	112000000	116000000	114	114000000	115000000	2	4	2000000
chr1	28	112000000	116000000	115	115000000	116000000	3	4	3000000
chr1	29	116000000	120000000	116	116000000	117000000	0	4	0
chr1	29	116000000	120000000	117	117000000	118000000	1	4	1000000
chr1	29	116000000	120000000	118	118000000	119000000	2	4	2000000
chr1	29	116000000	120000000	119	119000000	120000000	3	4	3000000
chr1	30	120000000	124000000	120	120000000	121000000	0	4	0
chr1	30	120000000	124000000	121	121000000	122000000	1	4	1000000
chr1	30	120000000	124000000	122	122000000	123000000	2	4	2000000
chr1	30	120000000	124000000	123	123000000	124000000	3	4	3000000
chr1	31	124000000	128000000	124	124000000	125000000	0	4	0
chr1	31	124000000	128000000	125	125000000	126000000	1	4	1000000
chr1	31	124000000	128000000	126	126000000	127000000	2	4	2000000
chr1	31	124000000	128000000	127	127000000	128000000	3	4	3000000
chr1	32	128000000	132000000	128	128000000	129000000	0	4	0
chr1	32	128000000	132000000	129	129000000	130000000	1	4	1000000
chr1	32	128000000	132000000	130	130000000	131000000	2	4	2000000
chr1	32	128000000	132000000	131	131000000	132000000	3	4	3000000
chr1	33	132000000	136000000	132	132000000	133000000	0	4	0
chr1	33	132000000	136000000	133	133000000	134000000	1	4	1000000
chr1	33	132000000	136000000	134	134000000	135000000	2	4	2000000
chr1	33	132000000	136000000	135	135000000	136000000	3	4	3000000
chr1	34	136000000	140000000	136	136000000	137000000	0	4	0
chr1	34	136000000	140000000	137	137000000	138000000	1	4	1000000
chr1	34	136000000	140000000	138	138000000	139000000	2	4	2000000
chr1	34	136000000	140000000	139	139000000	140000000	3	4	3000000
chr1	35	140000000	144000000	140	140000000	141000000	0	4	0
chr1	35	140000000	144000000	141	141000000	142000000	1	4	1000000
chr1	35	140000000	144000000	142	142000000	143000000	2	4	2000000
chr1	35	140000000	144000000	143	143000000	144000000	3	4	3000000
chr1	36	144000000	148000000	144	144000000	145000000	0	4	0
chr1	36	144000000	148000000	145	145000000	146000000	1	4	1000000
chr1	36	144000000	148000000	146	146000000	147000000	2	4	2000000
chr1	36	144000000	148000000	147	147000000	148000000	3	4	3000000
chr1	37	148000000	152000000	148	148000000	149000000	0	4	0
chr1	37	148000000	152000000	149	149000000	150000000	1	4	1000000
chr1	37	148000000	152000000	150	150000000	151000000	2	4	2000000
chr1	37	148000000	152000000	151	151000000	152000000	3	4	3000000
chr1	38	152000000	156000000	152	152000000	153000000	0	4	0
chr1	38	152000000	156000000	153	153000000	154000000	1	4	1000000
chr1	38	152000000	156000000	154	154000000	155000000	2	4	2000000
chr1	38	152000000	156000000	155	155000000	156000000	3	4	3000000
chr1	39	156000000	160000000	156	156000000	157000000	0	4	0
chr1	39	156000000	160000000	157	157000000	158000000	1	4	1000000
chr1	39	156000000	160000000	158	158000000	159000000	2	4	2000000
chr1	39	156000000	160000000	159	159000000	160000000	3	4	3000000
chr1	40	160000000	164000000	160	160000000	161000000	0	4	0
chr1	40	160000000	164000000	161	161000000	162000000	1	4	1000000
chr1	40	160000000	164000000	162	162000000	163000000	2	4	2000000
chr1	40	160000000	164000000	163	163000000	164000000	3	4	3000000
chr1	41	164000000	168000000	164	164000000	165000000	0	4	0
chr1	41	164000000	168000000	165	165000000	166000000	1	4	1000000
chr1	41	164000000	168000000	166	166000000	167000000	2	4	2000000
chr1	41	164000000	168000000	167	167000000	168000000	3	4	3000000
chr1	42	168000000	172000000	168	168000000	169000000	0	4	0
chr1	42	168000000	172000000	169	169000000	170000000	1	4	1000000
chr1	42	168000000	172000000	170	170000000	171000000	2	4	2000000
chr1	42	168000000	172000000	171	171000000	172000000	3	4	3000000
chr1	43	172000000	176000000	172	172000000	173000000	0	4	0
chr1	43	172000000	176000000	173	173000000	174000000	1	4	1000000
chr1	43	172000000	176000000	174	174000000	175000000	2	4	2000000
chr1	43	172000000	176000000	175	175000000	176000000	3	4	3000000
chr1	44	176000000	180000000	176	176000000	177000000	0	4	0
chr1	44	176000000	180000000	177	177000000	178000000	1	4	1000000
chr1	44	176000000	180000000	178	178000000	179000000	2	4	2000000
chr1	44	176000000	180000000	179	179000000	180000000	3	4	3000000
chr1	45	180000000	184000000	180	180000000	181000000	0	4	0
chr1	45	180000000	184000000	181	181000000	182000000	1	4	1000000
chr1	45	180000000	184000000	182	182000000	183000000	2	4	2000000
chr1	45	180000000	184000000	183	183000000	184000000	3	4	3000000
chr1	46	184000000	188000000	184	184000000	185000000	0	4	0
chr1	46	184000000	188000000	185	185000000	186000000	1	4	1000000
chr1	46	184000000	188000000	186	186000000	187000000	2	4	2000000
chr1	46	184000000	188000000	187	187000000	188000000	3	4	3000000
chr1	47	188000000	192000000	188	188000000	189000000	0	4	0
chr1	47	188000000	192000000	189	189000000	190000000	1	4	1000000
chr1	47	188000000	192000000	190	190000000	191000000	2	4	2000000
chr1	47	188000000	192000000	191	191000000	192000000	3	4	3000000
chr1	48	192000000	195471971	192	192000000	193000000	0	3	0
chr1	48	192000000	195471971	193	193000000	194000000	1	3	1000000
chr1	48	192000000	195471971	194	194000000	195471971	2	3	2000000
chr2	49	0	4000000	195	0	1000000	0	4	0
chr2	49	0	4000000	196	1000000	2000000	1	4	1000000
chr2	49	0	4000000	197	2000000	3000000	2	4	2000000
chr2	49	0	4000000	198	3000000	4000000	3	4	3000000
chr2	50	4000000	8000000	199	4000000	5000000	0	4	0
chr2	50	4000000	8000000	200	5000000	6000000	1	4	1000000
chr2	50	4000000	8000000	201	6000000	7000000	2	4	2000000
chr2	50	4000000	8000000	202	7000000	8000000	3	4	3000000
chr2	51	8000000	12000000	203	8000000	9000000	0	4	0
chr2	51	8000000	12000000	204	9000000	10000000	1	4	1000000
chr2	51	8000000	12000000	205	10000000	11000000	2	4	2000000
chr2	51	8000000	12000000	206	11000000	12000000	3	4	3000000
chr2	52	12000000	16000000	207	12000000	13000000	0	4	0
chr2	52	12000000	16000000	208	13000000	14000000	1	4	1000000
chr2	52	12000000	16000000	209	14000000	15000000	2	4	2000000
chr2	52	12000000	16000000	210	15000000	16000000	3	4	3000000
chr2	53	16000000	20000000	211	16000000	17000000	0	4	0
chr2	53	16000000	20000000	212	17000000	18000000	1	4	1000000
chr2	53	16000000	20000000	213	18000000	19000000	2	4	2000000
chr2	53	16000000	20000000	214	19000000	20000000	3	4	3000000
chr2	54	20000000	24000000	215	20000000	21000000	0	4	0
chr2	54	20000000	24000000	216	21000000	22000000	1	4	1000000
chr2	54	20000000	24000000	217	22000000	23000000	2	4	2000000
chr2	54	20000000	24000000	218	23000000	24000000	3	4	3000000
chr2	55	24000000	28000000	219	24000000	25000000	0	4	0
chr2	55	24000000	28000000	220	25000000	26000000	1	4	1000000
chr2	55	24000000	28000000	221	26000000	27000000	2	4	2000000
chr2	55	24000000	28000000	222	27000000	28000000	3	4	3000000
chr2	56	28000000	32000000	223	28000000	29000000	0	4	0
chr2	56	28000000	32000000	224	29000000	30000000	1	4	1000000
chr2	56	28000000	32000000	225	30000000	31000000	2	4	2000000
chr2	56	28000000	32000000	226	31000000	32000000	3	4	3000000
chr2	57	32000000	36000000	227	32000000	33000000	0	4	0
chr2	57	32000000	36000000	228	33000000	34000000	1	4	1000000
chr2	57	32000000	36000000	229	34000000	35000000	2	4	2000000
chr2	57	32000000	36000000	230	35000000	36000000	3	4	3000000
chr2	58	36000000	40000000	231	36000000	37000000	0	4	0
chr2	58	36000000	40000000	232	37000000	38000000	1	4	1000000
chr2	58	36000000	40000000	233	38000000	39000000	2	4	2000000
chr2	58	36000000	40000000	234	39000000	40000000	3	4	3000000
chr2	59	40000000	44000000	235	40000000	41000000	0	4	0
chr2	59	40000000	44000000	236	41000000	42000000	1	4	1000000
chr2	59	40000000	44000000	237	42000000	43000000	2	4	2000000
chr2	59	40000000	44000000	238	43000000	44000000	3	4	3000000
chr2	60	44000000	48000000	239	44000000	45000000	0	4	0
chr2	60	44000000	48000000	240	45000000	46000000	1	4	1000000
chr2	60	44000000	48000000	241	46000000	47000000	2	4	2000000
chr2	60	44000000	48000000	242	47000000	48000000	3	4	3000000
chr2	61	48000000	52000000	243	48000000	49000000	0	4	0
chr2	61	48000000	52000000	244	49000000	50000000	1	4	1000000
chr2	61	48000000	52000000	245	50000000	51000000	2	4	2000000
chr2	61	48000000	52000000	246	51000000	52000000	3	4	3000000
chr2	62	52000000	56000000	247	52000000	53000000	0	4	0
chr2	62	52000000	56000000	248	53000000	54000000	1	4	1000000
chr2	62	52000000	56000000	249	54000000	55000000	2	4	2000000
chr2	62	52000000	56000000	250	55000000	56000000	3	4	3000000
chr2	63	56000000	60000000	251	56000000	57000000	0	4	0
chr2	63	56000000	60000000	252	57000000	58000000	1	4	1000000
chr2	63	56000000	60000000	253	58000000	59000000	2	4	2000000
chr2	63	56000000	60000000	254	59000000	60000000	3	4	3000000
chr2	64	60000000	64000000	255	60000000	61000000	0	4	0
chr2	64	60000000	64000000	256	61000000	62000000	1	4	1000000
chr2	64	60000000	64000000	257	62000000	63000000	2	4	2000000
chr2	64	60000000	64000000	258	63000000	64000000	3	4	3000000
chr2	65	64000000	68000000	259	64000000	65000000	0	4	0
chr2	65	64000000	68000000	260	65000000	66000000	1	4	1000000
chr2	65	64000000	68000000	261	66000000	67000000	2	4	2000000
chr2	65	64000000	68000000	262	67000000	68000000	3	4	3000000
chr2	66	68000000	72000000	263	68000000	69000000	0	4	0
chr2	66	68000000	72000000	264	69000000	70000000	1	4	1000000
chr2	66	68000000	72000000	265	70000000	71000000	2	4	2000000
chr2	66	68000000	72000000	266	71000000	72000000	3	4	3000000
chr2	67	72000000	76000000	267	72000000	73000000	0	4	0
chr2	67	72000000	76000000	268	73000000	74000000	1	4	1000000
chr2	67	72000000	76000000	269	74000000	75000000	2	4	2000000
chr2	67	72000000	76000000	270	75000000	76000000	3	4	3000000
chr2	68	76000000	80000000	271	76000000	77000000	0	4	0
chr2	68	76000000	80000000	272	77000000	78000000	1	4	1000000
chr2	68	76000000	80000000	273	78000000	79000000	2	4	2000000
chr2	68	76000000	80000000	274	79000000	80000000	3	4	3000000
chr2	69	80000000	84000000	275	80000000	81000000	0	4	0
chr2	69	80000000	84000000	276	81000000	82000000	1	4	1000000
chr2	69	80000000	84000000	277	82000000	83000000	2	4	2000000
chr2	69	80000000	84000000	278	83000000	84000000	3	4	3000000
chr2	70	84000000	88000000	279	84000000	85000000	0	4	0
chr2	70	84000000	88000000	280	85000000	86000000	1	4	1000000
chr2	70	84000000	88000000	281	86000000	87000000	2	4	2000000
chr2	70	84000000	88000000	282	87000000	88000000	3	4	3000000
chr2	71	88000000	92000000	283	88000000	89000000	0	4	0
chr2	71	88000000	92000000	284	89000000	90000000	1	4	1000000
chr2	71	88000000	92000000	285	90000000	91000000	2	4	2000000
chr2	71	88000000	92000000	286	91000000	92000000	3	4	3000000
chr2	72	92000000	96000000	287	92000000	93000000	0	4	0
chr2	72	92000000	96000000	288	93000000	94000000	1	4	1000000
chr2	72	92000000	96000000	289	94000000	95000000	2	4	2000000
chr2	72	92000000	96000000	290	95000000	96000000	3	4	3000000
chr2	73	96000000	100000000	291	96000000	97000000	0	4	0
chr2	73	96000000	100000000	292	97000000	98000000	1	4	1000000
chr2	73	96000000	100000000	293	98000000	99000000	2	4	2000000
chr2	73	96000000	100000000	294	99000000	100000000	3	4	3000000
chr2	74	100000000	104000000	295	100000000	101000000	0	4	0
chr2	74	100000000	104000000	296	101000000	102000000	1	4	1000000
chr2	74	100000000	104000000	297	102000000	103000000	2	4	2000000
chr2	74	100000000	104000000	298	103000000	104000000	3	4	3000000
chr2	75	104000000	108000000	299	104000000	105000000	0	4	0
chr2	75	104000000	108000000	300	105000000	106000000	1	4	1000000
chr2	75	104000000	108000000	301	106000000	107000000	2	4	2000000
chr2	75	104000000	108000000	302	107000000	108000000	3	4	3000000
chr2	76	108000000	112000000	303	108000000	109000000	0	4	0
chr2	76	108000000	112000000	304	109000000	110000000	1	4	1000000
chr2	76	108000000	112000000	305	110000000	111000000	2	4	2000000
chr2	76	108000000	112000000	306	111000000	112000000	3	4	3000000
chr2	77	112000000	116000000	307	112000000	113000000	0	4	0
chr2	77	112000000	116000000	308	113000000	114000000	1	4	1000000
chr2	77	112000000	116000000	309	114000000	115000000	2	4	2000000
chr2	77	112000000	116000000	310	115000000	116000000	3	4	3000000
chr2	78	116000000	120000000	311	116000000	117000000	0	4	0
chr2	78	116000000	120000000	312	117000000	118000000	1	4	1000000
chr2	78	116000000	120000000	313	118000000	119000000	2	4	2000000
chr2	78	116000000	120000000	314	119000000	120000000	3	4	3000000
chr2	79	120000000	124000000	315	120000000	121000000	0	4	0
chr2	79	120000000	124000000	316	121000000	122000000	1	4	1000000
chr2	79	120000000	124000000	317	122000000	123000000	2	4	2000000
chr2	79	120000000	124000000	318	123000000	124000000	3	4	3000000
chr2	80	124000000	128000000	319	124000000	125000000	0	4	0
chr2	80	124000000	128000000	320	125000000	126000000	1	4	1000000
chr2	80	124000000	128000000	321	126000000	127000000	2	4	2000000
chr2	80	124000000	128000000	322	127000000	128000000	3	4	3000000
chr2	81	128000000	132000000	323	128000000	129000000	0	4	0
chr2	81	128000000	132000000	324	129000000	130000000	1	4	1000000
chr2	81	128000000	132000000	325	130000000	131000000	2	4	2000000
chr2	81	128000000	132000000	326	131000000	132000000	3	4	3000000
chr2	82	132000000	136000000	327	132000000	133000000	0	4	0
chr2	82	132000000	136000000	328	133000000	134000000	1	4	1000000
chr2	82	132000000	136000000	329	134000000	135000000	2	4	2000000
chr2	82	132000000	136000000	330	135000000	136000000	3	4	3000000
chr2	83	136000000	140000000	331	136000000	137000000	0	4	0
chr2	83	136000000	140000000	332	137000000	138000000	1	4	1000000
chr2	83	136000000	140000000	333	138000000	139000000	2	4	2000000
chr2	83	136000000	140000000	334	139000000	140000000	3	4	3000000
chr2	84	140000000	144000000	335	140000000	141000000	0	4	0
chr2	84	140000000	144000000	336	141000000	142000000	1	4	1000000
chr2	84	140000000	144000000	337	142000000	143000000	2	4	2000000
chr2	84	140000000	144000000	338	143000000	144000000	3	4	3000000
chr2	85	144000000	148000000	339	144000000	145000000	0	4	0
chr2	85	144000000	148000000	340	145000000	146000000	1	4	1000000
chr2	85	144000000	148000000	341	146000000	147000000	2	4	2000000
chr2	85	144000000	148000000	342	147000000	148000000	3	4	3000000
chr2	86	148000000	152000000	343	148000000	149000000	0	4	0
chr2	86	148000000	152000000	344	149000000	150000000	1	4	1000000
chr2	86	148000000	152000000	345	150000000	151000000	2	4	2000000
chr2	86	148000000	152000000	346	151000000	152000000	3	4	3000000
chr2	87	152000000	156000000	347	152000000	153000000	0	4	0
chr2	87	152000000	156000000	348	153000000	154000000	1	4	1000000
chr2	87	152000000	156000000	349	154000000	155000000	2	4	2000000
chr2	87	152000000	156000000	350	155000000	156000000	3	4	3000000
chr2	88	156000000	160000000	351	156000000	157000000	0	4	0
chr2	88	156000000	160000000	352	157000000	158000000	1	4	1000000
chr2	88	156000000	160000000	353	158000000	159000000	2	4	2000000
chr2	88	156000000	160000000	354	159000000	160000000	3	4	3000000
chr2	89	160000000	164000000	355	160000000	161000000	0	4	0
chr2	89	160000000	164000000	356	161000000	162000000	1	4	1000000
chr2	89	160000000	164000000	357	162000000	163000000	2	4	2000000
chr2	89	160000000	164000000	358	163000000	164000000	3	4	3000000
chr2	90	164000000	168000000	359	164000000	165000000	0	4	0
chr2	90	164000000	168000000	360	165000000	166000000	1	4	1000000
chr2	90	164000000	168000000	361	166000000	167000000	2	4	2000000
chr2	90	164000000	168000000	362	167000000	168000000	3	4	3000000
chr2	91	168000000	172000000	363	168000000	169000000	0	4	0
chr2	91	168000000	172000000	364	169000000	170000000	1	4	1000000
chr2	91	168000000	172000000	365	170000000	171000000	2	4	2000000
chr2	91	168000000	172000000	366	171000000	172000000	3	4	3000000
chr2	92	172000000	176000000	367	172000000	173000000	0	4	0
chr2	92	172000000	176000000	368	173000000	174000000	1	4	1000000
chr2	92	172000000	176000000	369	174000000	175000000	2	4	2000000
chr2	92	172000000	176000000	370	175000000	176000000	3	4	3000000
chr2	93	176000000	180000000	371	176000000	177000000	0	4	0
chr2	93	176000000	180000000	372	177000000	178000000	1	4	1000000
chr2	93	176000000	180000000	373	178000000	179000000	2	4	2000000
chr2	93	176000000	180000000	374	179000000	180000000	3	4	3000000
chr2	94	180000000	182113224	375	180000000	181000000	0	2	0
chr2	94	180000000	182113224	376	181000000	182113224	1	2	1000000
chr3	95	0	4000000	377	0	1000000	0	4	0
chr3	95	0	4000000	378	1000000	2000000	1	4	1000000
chr3	95	0	4000000	379	2000000	3000000	2	4	2000000
chr3	95	0	4000000	380	3000000	4000000	3	4	3000000
chr3	96	4000000	8000000	381	4000000	5000000	0	4	0
chr3	96	4000000	8000000	382	5000000	6000000	1	4	1000000
chr3	96	4000000	8000000	383	6000000	7000000	2	4	2000000
chr3	96	4000000	8000000	384	7000000	8000000	3	4	3000000
chr3	97	8000000	12000000	385	8000000	9000000	0	4	0
chr3	97	8000000	12000000	386	9000000	10000000	1	4	1000000
chr3	97	8000000	12000000	387	10000000	11000000	2	4	2000000
chr3	97	8000000	12000000	388	11000000	12000000	3	4	3000000
chr3	98	12000000	16000000	389	12000000	13000000	0	4	0
chr3	98	12000000	16000000	390	13000000	14000000	1	4	1000000
chr3	98	12000000	16000000	391	14000000	15000000	2	4	2000000
chr3	98	12000000	16000000	392	15000000	16000000	3	4	3000000
chr3	99	16000000	20000000	393	16000000	17000000	0	4	0
chr3	99	16000000	20000000	394	17000000	18000000	1	4	1000000
chr3	99	16000000	20000000	395	18000000	19000000	2	4	2000000
chr3	99	16000000	20000000	396	19000000	20000000	3	4	3000000
chr3	100	20000000	24000000	397	20000000	21000000	0	4	0
chr3	100	20000000	24000000	398	21000000	22000000	1	4	1000000
chr3	100	20000000	24000000	399	22000000	23000000	2	4	2000000
chr3	100	20000000	24000000	400	23000000	24000000	3	4	3000000
chr3	101	24000000	28000000	401	24000000	25000000	0	4	0
chr3	101	24000000	28000000	402	25000000	26000000	1	4	1000000
chr3	101	24000000	28000000	403	26000000	27000000	2	4	2000000
chr3	101	24000000	28000000	404	27000000	28000000	3	4	3000000
chr3	102	28000000	32000000	405	28000000	29000000	0	4	0
chr3	102	28000000	32000000	406	29000000	30000000	1	4	1000000
chr3	102	28000000	32000000	407	30000000	31000000	2	4	2000000
chr3	102	28000000	32000000	408	31000000	32000000	3	4	3000000
chr3	103	32000000	36000000	409	32000000	33000000	0	4	0
chr3	103	32000000	36000000	410	33000000	34000000	1	4	1000000
chr3	103	32000000	36000000	411	34000000	35000000	2	4	2000000
chr3	103	32000000	36000000	412	35000000	36000000	3	4	3000000
chr3	104	36000000	40000000	413	36000000	37000000	0	4	0
chr3	104	36000000	40000000	414	37000000	38000000	1	4	1000000
chr3	104	36000000	40000000	415	38000000	39000000	2	4	2000000
chr3	104	36000000	40000000	416	39000000	40000000	3	4	3000000
chr3	105	40000000	44000000	417	40000000	41000000	0	4	0
chr3	105	40000000	44000000	418	41000000	42000000	1	4	1000000
chr3	105	40000000	44000000	419	42000000	43000000	2	4	2000000
chr3	105	40000000	44000000	420	43000000	44000000	3	4	3000000
chr3	106	44000000	48000000	421	44000000	45000000	0	4	0
chr3	106	44000000	48000000	422	45000000	46000000	1	4	1000000
chr3	106	44000000	48000000	423	46000000	47000000	2	4	2000000
chr3	106	44000000	48000000	424	47000000	48000000	3	4	3000000
chr3	107	48000000	52000000	425	48000000	49000000	0	4	0
chr3	107	48000000	52000000	426	49000000	50000000	1	4	1000000
chr3	107	48000000	52000000	427	50000000	51000000	2	4	2000000
chr3	107	48000000	52000000	428	51000000	52000000	3	4	3000000
chr3	108	52000000	56000000	429	52000000	53000000	0	4	0
chr3	108	52000000	56000000	430	53000000	54000000	1	4	1000000
chr3	108	52000000	56000000	431	54000000	55000000	2	4	2000000
chr3	108	52000000	56000000	432	55000000	56000000	3	4	3000000
chr3	109	56000000	60000000	433	56000000	57000000	0	4	0
chr3	109	56000000	60000000	434	57000000	58000000	1	4	1000000
chr3	109	56000000	60000000	435	58000000	59000000	2	4	2000000
chr3	109	56000000	60000000	436	59000000	60000000	3	4	3000000
chr3	110	60000000	64000000	437	60000000	61000000	0	4	0
chr3	110	60000000	64000000	438	61000000	62000000	1	4	1000000
chr3	110	60000000	64000000	439	62000000	63000000	2	4	2000000
chr3	110	60000000	64000000	440	63000000	64000000	3	4	3000000
