config_name	predeclared_primary_score	predeclared_coverage_level	score_threshold	called_contacts	total_contacts	actual_called_fraction	called_bin_pairs	total_bin_pairs	called_bin_pair_fraction	top1_accuracy	delta_top1_vs_config_all_trans	delta_top1_vs_best035_replay_fixed_policy	same_cross_accuracy	top1_recall	n_chrom_pairs_called	top_chrom_pair	top_chrom_pair_contacts	top_chrom_pair_fraction_of_called_contacts	min_chrom_pair_contacts_called	input_contact_source	train_manifest_uses_phase_labels	train_manifest_uses_charm_or_reference	train_manifest_uses_charm_for_training	train_manifest_reference_derived_positive_control	train_manifest_approved_p9016_raw_pairs_realpath	best_selected_after_eval	selection_uses_truth	selection_uses_charm	scoring_uses_truth	denominator_uses_charm_filter
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	neg_entropy	0.02	-1.27510772e-05	2884	143977	0.0200309772	286	114605	0.00249552812	0.666435506	0.313615264	-0.026404342	0.719833564	0.0133493544	56	chr4__chr10	293	0.101595007	2	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p003_lct0p03_gct0p003	neg_entropy	0.02	-1.23677849e-05	2882	143977	0.0200170861	289	114605	0.00252170499	0.67869535	0.328583874	-0.014144498	0.731089521	0.0135855032	56	chr4__chr10	273	0.0947258848	2	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p03_only	neg_entropy	0.02	-8.67529041e-06	2880	143977	0.020003195	271	114605	0.00236464378	0.682986111	0.343674971	-0.009853737	0.729513889	0.0136619043	53	chr4__chr10	264	0.0916666667	2	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	neg_entropy	0.02	-9.59875307e-06	2891	143977	0.020079596	277	114605	0.00241699751	0.692839848	0.339922368	0	0.755447942	0.0139119443	54	chr4__chr10	268	0.0927014874	2	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	neg_entropy	0.05	-0.000378151815	7199	143977	0.0500010418	909	114605	0.00793159112	0.580914016	0.241887644	-0.082372552	0.663008751	0.029046306	88	chr2__chr6	380	0.052785109	4	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p1_lct0p03_gct0p003	neg_entropy	0.05	-0.00049459558	7206	143977	0.0500496607	941	114605	0.00821081105	0.58812101	0.247177665	-0.075165558	0.686372467	0.029435257	85	chr4__chr10	420	0.0582847627	2	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p03_only	neg_entropy	0.05	-0.000322921902	7202	143977	0.0500218785	908	114605	0.00792286549	0.611496806	0.272185666	-0.051789762	0.665787281	0.030588219	85	chr4__chr10	447	0.0620660928	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	neg_entropy	0.05	-0.000481501288	7205	143977	0.0500427152	945	114605	0.00824571354	0.621235253	0.268415011	-0.042051315	0.684941013	0.0310882988	84	chr4__chr10	470	0.0652324774	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p03_lct0p03_gct0p003	neg_entropy	0.05	-0.000455496897	7199	143977	0.0500010418	947	114605	0.00826316478	0.624392277	0.271321995	-0.038894291	0.68676205	0.0312202643	83	chr4__chr10	470	0.0652868454	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p003_lct0p03_gct0p003	neg_entropy	0.05	-0.000497421077	7200	143977	0.0500079874	960	114605	0.00837659788	0.632222222	0.282110746	-0.031064346	0.705	0.0316161609	84	chr4__chr10	470	0.0652777778	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	neg_entropy	0.05	-0.000426874923	7199	143977	0.0500010418	942	114605	0.00821953667	0.663286568	0.310369088	0	0.736491179	0.0331650194	86	chr4__chr5	483	0.0670926518	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	neg_entropy	0.1	-0.00870273479	14407	143977	0.100064594	2507	114605	0.0218751363	0.550496287	0.211469915	-0.069824569	0.631220934	0.0550851872	115	chr4__chr10	558	0.0387311723	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p1_lct0p03_gct0p003	neg_entropy	0.1	-0.0125069028	14398	143977	0.100002084	2660	114605	0.0232101566	0.566189749	0.225246404	-0.054131107	0.661619669	0.0566201546	119	chr5__chr9	638	0.04431171	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p03_only	neg_entropy	0.1	-0.0104705517	14400	143977	0.100015975	2611	114605	0.0227826011	0.580347222	0.241036082	-0.039973634	0.641527778	0.0580439931	116	chr4__chr10	656	0.0455555556	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p003_lct0p03_gct0p003	neg_entropy	0.1	-0.0129382796	14399	143977	0.100009029	2729	114605	0.0238122246	0.602402945	0.252291469	-0.017917911	0.684144732	0.0602457337	117	chr4__chr10	664	0.0461143135	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p03_lct0p03_gct0p003	neg_entropy	0.1	-0.0126188652	14398	143977	0.100002084	2727	114605	0.0237947734	0.608556744	0.255486462	-0.011764112	0.675232671	0.0608569424	112	chr4__chr10	660	0.0458397	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	neg_entropy	0.1	-0.0132961538	14398	143977	0.100002084	2739	114605	0.0238994808	0.61189054	0.259070298	-0.008430316	0.678497013	0.061190329	115	chr4__chr10	670	0.0465342409	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	neg_entropy	0.1	-0.0116029604	14399	143977	0.100009029	2679	114605	0.0233759435	0.620320856	0.267403376	0	0.701923745	0.0620376866	114	chr4__chr10	673	0.0467393569	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	neg_entropy	0.2	-0.145694416	28797	143977	0.200011113	10755	114605	0.0938440731	0.500329895	0.161303523	-0.043773453	0.610410807	0.100071539	180	chr4__chr10	971	0.0337187902	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p1_lct0p03_gct0p003	neg_entropy	0.2	-0.161289896	28796	143977	0.200004167	11010	114605	0.0960691069	0.509306848	0.168363503	-0.0347965	0.627344076	0.101863492	180	chr4__chr10	1097	0.0380955688	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p03_only	neg_entropy	0.2	-0.153807948	28798	143977	0.200018058	11100	114605	0.096854413	0.509340926	0.170029786	-0.034762422	0.606812973	0.101877383	182	chr4__chr10	1115	0.0387179665	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p003_lct0p03_gct0p003	neg_entropy	0.2	-0.164433042	28808	143977	0.200087514	11155	114605	0.0973343222	0.52947098	0.179359504	-0.014632368	0.641835601	0.105940532	183	chr4__chr10	1184	0.0410996945	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p03_lct0p03_gct0p003	neg_entropy	0.2	-0.166856704	28796	143977	0.200004167	11258	114605	0.0982330614	0.536393944	0.183323662	-0.007709404	0.640887623	0.107281024	180	chr4__chr10	1217	0.0422628143	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	neg_entropy	0.2	-0.168147675	28796	143977	0.200004167	11244	114605	0.0981109027	0.536775941	0.183955699	-0.007327407	0.640852896	0.107357425	180	chr4__chr10	1213	0.0421239061	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	neg_entropy	0.2	-0.157075727	28796	143977	0.200004167	11014	114605	0.0961040094	0.544103348	0.191185868	0	0.657070426	0.108822937	182	chr4__chr10	1203	0.0417766356	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	neg_entropy	0.3	-0.311487786	43194	143977	0.300006251	22454	114605	0.195925134	0.448279854	0.109253482	-0.035907765	0.588229847	0.134486758	189	chr4__chr10	1246	0.0288465991	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p03_only	neg_entropy	0.3	-0.316768924	43194	143977	0.300006251	22766	114605	0.198647528	0.454345511	0.115034371	-0.029842108	0.584270964	0.136306493	188	chr4__chr10	1372	0.0317636709	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p1_lct0p03_gct0p003	neg_entropy	0.3	-0.334008599	43195	143977	0.300013197	22833	114605	0.199232145	0.455006366	0.114063021	-0.029181253	0.600324112	0.136507914	190	chr4__chr10	1355	0.0313693715	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p003_lct0p03_gct0p003	neg_entropy	0.3	-0.335609864	43194	143977	0.300006251	22792	114605	0.198874395	0.47080613	0.120694654	-0.013381489	0.610756124	0.141244782	188	chr4__chr10	1455	0.0336852341	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	neg_entropy	0.3	-0.339474461	43194	143977	0.300006251	22913	114605	0.199930195	0.474348289	0.121528047	-0.00983933	0.608140019	0.142307452	189	chr4__chr10	1477	0.0341945641	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p03_lct0p03_gct0p003	neg_entropy	0.3	-0.336612054	43194	143977	0.300006251	22919	114605	0.199982549	0.475621614	0.122551332	-0.008566005	0.607676992	0.142689457	189	chr4__chr10	1479	0.0342408668	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	neg_entropy	0.3	-0.326260973	43194	143977	0.300006251	22757	114605	0.198568998	0.484187619	0.131270139	0	0.623165254	0.145259312	187	chr4__chr10	1471	0.0340556559	1	raw_pairs	0	0	0	0	1	0	0	0	1	1
