chrom	reference_copy	reconstruction_copy	reference_copy_index	reconstruction_copy_index	selected_by_geometry_swap	n_points	n_pairwise_distances	cis_distance_pearson	cis_distance_spearman
chr8	copy1	copy0	1	0	0	123	7503	0.22379253512034392	0.21814554716238663
chr8	copy1	copy1	1	1	1	123	7503	0.2872390297848991	0.2792944849300777
chr9	copy0	copy0	0	0	1	120	7140	0.24119075253316974	0.25553971540984594
chr9	copy0	copy1	0	1	0	120	7140	0.11670138580655409	0.1549687078722206
chr9	copy1	copy0	1	0	0	120	7140	0.3131312878162917	0.2543778392014184
chr9	copy1	copy1	1	1	1	120	7140	0.08868515616973108	0.17224925124072712
chr10	copy0	copy0	0	0	1	127	8001	0.28103306444612425	0.3109780591035219
chr10	copy0	copy1	0	1	0	127	8001	0.19151571295580794	0.2307947488427856
chr10	copy1	copy0	1	0	0	127	8001	0.08121879245647787	0.14339093969008687
chr10	copy1	copy1	1	1	1	127	8001	0.26274954594224526	0.3110009112129542
chr11	copy0	copy0	0	0	1	119	7021	0.16757514378187735	0.14429623480034193
chr11	copy0	copy1	0	1	0	119	7021	0.13039585549768165	0.15650983578068173
chr11	copy1	copy0	1	0	0	119	7021	0.23743468458461672	0.2297987282481819
chr11	copy1	copy1	1	1	1	119	7021	0.08827230310619548	0.14412419701107895
chr12	copy0	copy0	0	0	1	110	5995	0.2270244815978057	0.2316980932602356
chr12	copy0	copy1	0	1	0	110	5995	-0.029951529067375367	0.03301114998148494
chr12	copy1	copy0	1	0	0	115	6555	0.04318364452286979	0.06270915817009204
chr12	copy1	copy1	1	1	1	115	6555	0.26286630685634893	0.28642950202137457
chr13	copy0	copy0	0	0	1	113	6328	0.29980036684180406	0.2975371812323328
chr13	copy0	copy1	0	1	0	113	6328	0.1534405936346377	0.16994736982840042
chr13	copy1	copy0	1	0	0	115	6555	0.298746167445347	0.296600208704994
chr13	copy1	copy1	1	1	1	115	6555	0.24590075809061776	0.2681099480802948
chr14	copy0	copy0	0	0	0	109	5886	0.10042277172791307	0.20765930781452904
chr14	copy0	copy1	0	1	1	109	5886	0.3888391648032197	0.3758174854457162
chr14	copy1	copy0	1	0	1	112	6216	0.2307674298259968	0.3329076297330627
chr14	copy1	copy1	1	1	0	112	6216	0.34505587406356536	0.36023984436587053
chr15	copy0	copy0	0	0	1	98	4753	0.1420699552034657	0.1399976155044052
chr15	copy0	copy1	0	1	0	98	4753	0.16744400918017002	0.17966045385239082
chr15	copy1	copy0	1	0	0	101	5050	0.15634723967702008	0.16045833816963861
chr15	copy1	copy1	1	1	1	101	5050	0.27000774904204683	0.292056420334523
chr16	copy0	copy0	0	0	1	93	4278	0.1133030686542438	0.09603846144071321
chr16	copy0	copy1	0	1	0	93	4278	0.0803461545585496	0.07770584579312313
chr16	copy1	copy0	1	0	0	94	4371	0.17575035928038638	0.1818657460057248
chr16	copy1	copy1	1	1	1	94	4371	0.07216396954272862	0.09273899661680501
chr17	copy0	copy0	0	0	0	89	3916	0.23226977465724655	0.19792019251275375
chr17	copy0	copy1	0	1	1	89	3916	0.11491346401832432	0.13182838950869244
chr17	copy1	copy0	1	0	1	92	4186	0.27874299685105913	0.22798372011514542
chr17	copy1	copy1	1	1	0	92	4186	0.001479597723837469	0.057460410115241355
chr18	copy0	copy0	0	0	0	87	3741	0.2089054904676651	0.19544310220749153
chr18	copy0	copy1	0	1	1	87	3741	0.1216140018383555	0.3039146173168029
chr18	copy1	copy0	1	0	1	87	3741	0.027506031219154375	0.0234341990167932
chr18	copy1	copy1	1	1	0	87	3741	0.0737749475624013	0.22556674545305147
chr19	copy0	copy0	0	0	0	58	1653	0.24047922173691633	0.24998793668900202
chr19	copy0	copy1	0	1	1	58	1653	0.24185780563850634	0.2563942177065961
chr19	copy1	copy0	1	0	1	58	1653	0.254818828910788	0.24025222168833632
chr19	copy1	copy1	1	1	0	58	1653	0.04630623707098663	0.20895511503010653
chrX	copy0	copy0	0	0	0	126	7875	0.27435916371886626	0.31748565550114244
chrX	copy0	copy1	0	1	1	126	7875	0.23265159718090955	0.3094113305628241
chrX	copy1	copy0	1	0	1	132	8646	0.06624913542280307	0.12565694191806878
chrX	copy1	copy1	1	1	0	132	8646	0.2964841662950638	0.3152335950546354
