component	configuration	chromosome	n_contacts	exact_top1_accuracy	same_cross_accuracy	exact_log_loss	same_cross_log_loss	structure_metric	truth_used_in_inference	n_bins	geometry_selected_copy_flip_eval_only	procrustes_rmsd	rigid_rmsd	distance_pearson	distance_spearman	copy0_distance_spearman	copy1_distance_spearman	chromosome_shape_preservation	homolog_separation_spearman	truth_mean_homolog_separation	reconstruction_mean_homolog_separation
057A	oracle_coords_fdg_flat	chr4	29099	0.1871198322966425	0.8037733255438331	4.801739275810061	0.6830600300386037	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chr5	30214	0.18815780763884293	0.7762957569338718	4.238383480455522	0.5765890979502372	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chr6	29749	0.1814178627853037	0.8014723183972571	3.9169005831362425	0.6301650648034153	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chr7	26870	0.18247115742463715	0.7702270189802753	3.8202126276636563	0.49302968066008834	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chr8	27006	0.19240168851366363	0.8081167148041176	3.881987892918807	0.6974999878336717	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chr9	24952	0.18435395960243667	0.7904376402693171	4.311781667836211	0.5080594020308182	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chrX	13693	0.20243920251223252	0.762287300080333	4.450764606089472	0.7409190772018847	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr1	37429	0.19174971278954822	0.7998877875444175	12.897702142846866	2.5025752992792483	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr10	27600	0.181268115942029	0.8047826086956522	13.995721057494324	2.23940028123016	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr11	26371	0.19965113192522088	0.7983011641575973	12.909021703249888	2.61401867942097	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr12	23349	0.18386226390851856	0.8033748768683884	14.466620127212765	1.9758708736214212	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr13	25500	0.16901960784313724	0.7925882352941176	14.33263285336844	1.888915202247173	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr14	21176	0.1918681526256139	0.764072534945221	13.565657146003458	1.7622409209134666	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr15	19479	0.18224754864212742	0.807433646491093	14.52792338334774	3.4378060474538663	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr16	19091	0.1806610444712168	0.7943009795191451	14.11959339795483	2.124119956340569	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr17	17330	0.1690132717830352	0.790536641661858	14.079981613887393	2.4988914379916523	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr18	19918	0.16949492920976	0.8026408273923085	14.742422725596802	2.5123992007083538	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr19	12853	0.17513420991208278	0.7764724188905314	12.892514196441581	1.474588679867629	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr2	31932	0.17358762370036326	0.7940623825629463	14.95314268465005	2.9373960318277152	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr3	30400	0.1844407894736842	0.8014473684210527	12.556108773717723	2.1962007102790086	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr4	29099	0.18351146087494416	0.804013883638613	15.627673284315245	3.030243176331991	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr5	30214	0.18491427814920236	0.7780168133977626	14.204341682866561	2.3527608136507707	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr6	29749	0.17449326027765638	0.801270630945578	14.65902157227984	2.7884573492088904	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr7	26870	0.17633048008931895	0.7713807219947897	13.924222751374767	1.8589823206953497	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr8	27006	0.1866622232096571	0.8081537436125306	14.265287060078263	3.005531827186482	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chr9	24952	0.17886341776210324	0.7899967938441809	14.405379762209904	2.0547245804383696	NA	ORACLE_COORDINATES												
057A	oracle_coords_dist2	chrX	13693	0.20127072226685166	0.7621412400496604	16.31562411026068	3.796867984646032	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr1	37429	0.19174971278954822	0.7987923802399209	1.8498239651598736	0.36277578094492124	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr10	27600	0.181268115942029	0.8048188405797101	1.9973245987565906	0.3515284556586484	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr11	26371	0.19965113192522088	0.7980736415001327	1.8888187529882614	0.3777255386566428	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr12	23349	0.18386226390851856	0.803289220095079	2.0960612556834644	0.3674415362875478	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr13	25500	0.16901960784313724	0.7929803921568628	2.11304881310594	0.37827878622777344	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr14	21176	0.1918681526256139	0.7644503211182471	1.9998461863019246	0.4176022235839831	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr15	19479	0.18224754864212742	0.8085630679192977	1.9529284712857389	0.37014043840432076	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr16	19091	0.1806610444712168	0.7932533654601645	2.000702233340037	0.37570720129070057	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr17	17330	0.1690132717830352	0.7904212348528563	2.0212640163244058	0.39126290650309087	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr18	19918	0.16949492920976	0.8020885631087459	2.096138931500769	0.365622598294226	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr19	12853	0.17513420991208278	0.7756165875671049	2.0649122670509303	0.40569152949107323	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr2	31932	0.17358762370036326	0.7937179005386447	2.0148044725811722	0.383219145543538	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr3	30400	0.1844407894736842	0.8023684210526316	1.8740863369718346	0.3588312889498026	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr4	29099	0.18351146087494416	0.804013883638613	2.0849366945930905	0.37009289627043995	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr5	30214	0.18491427814920236	0.7753028397431654	2.022791263305391	0.40476949189745276	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr6	29749	0.17449326027765638	0.8014387038219772	2.012193536733353	0.36866681676391955	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr7	26870	0.17633048008931895	0.7716040193524376	1.9652491684608653	0.40136374583297724	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr8	27006	0.1866622232096571	0.8065985336591869	1.9678743068461575	0.36853363151596696	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chr9	24952	0.17886341776210324	0.7900769477396602	2.0536330053101852	0.3677525953731757	NA	ORACLE_COORDINATES												
057A	oracle_coords_logdist2	chrX	13693	0.20127072226685166	0.7600963996202439	1.9627071073750988	0.42628664403026245	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr1	37429	0.19174971278954822	0.7984984904752999	1.6721292535988597	0.36273891841111394	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr10	27600	0.181268115942029	0.805	1.7976319264994132	0.35443792322032397	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr11	26371	0.19965113192522088	0.7979219597284897	1.6988216826635558	0.372685024624428	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr12	23349	0.18386226390851856	0.8033748768683884	1.8907998163026463	0.36868559956734803	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr13	25500	0.16901960784313724	0.7928627450980392	1.9012759916718225	0.3848548817971104	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr14	21176	0.1918681526256139	0.7649697771061579	1.8351363116241566	0.42619504363481986	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr15	19479	0.18224754864212742	0.8083577185687151	1.7558111225900321	0.3633774496576685	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr16	19091	0.1806610444712168	0.7932533654601645	1.8124740677561035	0.3783053446424907	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr17	17330	0.1690132717830352	0.7906520484708598	1.8296332034281815	0.38888591295916924	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr18	19918	0.16949492920976	0.8020383572647857	1.8869625952567373	0.3624793234777698	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr19	12853	0.17513420991208278	0.7763946160429471	1.8670716085738732	0.41482051473166986	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr2	31932	0.17358762370036326	0.7935926343479894	1.827516464438367	0.3779411052557238	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr3	30400	0.1844407894736842	0.8024013157894737	1.6793208818715424	0.35841797931515157	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr4	29099	0.18351146087494416	0.8040482490807245	1.8884504516448581	0.36569701881026534	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr5	30214	0.18491427814920236	0.7749387701065731	1.8499507758527913	0.406608691340001	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr6	29749	0.17449326027765638	0.8015395475478168	1.8053279974471528	0.3644272951901444	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr7	26870	0.17633048008931895	0.771455154447339	1.8033517371282393	0.40953091105387535	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr8	27006	0.1866622232096571	0.8066355624675998	1.7696334273551333	0.36188177459555837	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chr9	24952	0.17886341776210324	0.7900368707919205	1.8633868048489217	0.36931423952971176	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotonic_powerlaw	chrX	13693	0.20127072226685166	0.7595851895128898	1.8091369091890117	0.4220367014950526	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr1	37429	0.19174971278954822	0.7988725319939085	1.8269011361756595	0.362392868529587	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr10	27600	0.181268115942029	0.8049275362318841	1.9713692290313207	0.35153431629341203	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr11	26371	0.19965113192522088	0.798035721057222	1.8643288963674436	0.37668037443829694	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr12	23349	0.18386226390851856	0.8032463917084244	2.068914596046988	0.3671833699266606	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr13	25500	0.16901960784313724	0.7927843137254902	2.0853454119329986	0.3785966168793591	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr14	21176	0.1918681526256139	0.7645447676615036	1.9777413134601949	0.4182314263059911	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr15	19479	0.18224754864212742	0.808511730581652	1.9271828251227254	0.3687857313309252	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr16	19091	0.1806610444712168	0.7932533654601645	1.975873421585824	0.3756447725862057	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr17	17330	0.1690132717830352	0.790536641661858	1.9960700746354418	0.3905450923023844	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr18	19918	0.16949492920976	0.8021387689527061	2.0685485990915757	0.3648043233386795	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr19	12853	0.17513420991208278	0.7757721932622734	2.0389915588441188	0.4062828001013442	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr2	31932	0.17358762370036326	0.7936865839909808	1.9897901374653393	0.3821288516836147	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr3	30400	0.1844407894736842	0.8024013157894737	1.8492698825119651	0.35841760731851846	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr4	29099	0.18351146087494416	0.804013883638613	2.058637507959473	0.36909255817058606	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr5	30214	0.18491427814920236	0.7752697425034752	1.9995058281236027	0.40456414610882757	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr6	29749	0.17449326027765638	0.8014387038219772	1.9852968587330493	0.3677321795309479	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr7	26870	0.17633048008931895	0.7717901004838109	1.9435802837634153	0.4019929287352686	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr8	27006	0.1866622232096571	0.8065985336591869	1.9420288550711589	0.36726253159764427	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chr9	24952	0.17886341776210324	0.7901571016351394	2.0283890219240246	0.36761462273302004	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_log	chrX	13693	0.20127072226685166	0.7600233696049076	1.9416699436411908	0.42537447623687685	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr1	37429	0.19174971278954822	0.7999679392984049	8.297621356023463	1.3420387967079273	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr10	27600	0.181268115942029	0.8046014492753624	9.510496289924511	1.194507059471626	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr11	26371	0.19965113192522088	0.7984149254863296	8.536018501987755	1.4737456230687886	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr12	23349	0.18386226390851856	0.8034605336416977	10.31481393026581	1.171422152709517	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr13	25500	0.16901960784313724	0.7927058823529411	9.991060838127591	1.109711849836299	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr14	21176	0.1918681526256139	0.7641669814884775	9.155330155491212	0.9963495567191866	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr15	19479	0.18224754864212742	0.8076389958416756	9.649148527489567	1.8279187589778982	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr16	19091	0.1806610444712168	0.7943009795191451	9.588485563300225	1.202203496056534	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr17	17330	0.1690132717830352	0.7908251586843624	9.653049506268593	1.423951737265866	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr18	19918	0.16949492920976	0.8027914449241892	10.4769511473824	1.420040900865218	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr19	12853	0.17513420991208278	0.7772504473663736	9.354864780688848	0.9521449792101451	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr2	31932	0.17358762370036326	0.7937492170863084	10.12504138713098	1.6242039310624035	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr3	30400	0.1844407894736842	0.8013815789473684	8.25434471896456	1.2356688455326361	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr4	29099	0.18351146087494416	0.8043575380597271	10.915186024726287	1.6432778556627923	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr5	30214	0.18491427814920236	0.7776858410008606	9.713829747681144	1.2867232251323408	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr6	29749	0.17449326027765638	0.8013042455208579	9.733415007471061	1.530018123111863	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr7	26870	0.17633048008931895	0.771678451804987	9.130984760468024	1.0251471612588974	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr8	27006	0.1866622232096571	0.8083388876545953	9.556495523697683	1.6633864066212491	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chr9	24952	0.17886341776210324	0.7903975633215774	9.923949662490863	1.1498234289026361	NA	ORACLE_COORDINATES												
057A	oracle_coords_monotone_logistic	chrX	13693	0.20127072226685166	0.7619951800189878	10.423272920252383	1.8379543108216772	NA	ORACLE_COORDINATES												
057B_historical_joint_partial	true_seed17	chr1	NA	NA	NA	NA	NA	0.9411556665014544	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr2	NA	NA	NA	NA	NA	0.9325189015791837	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr3	NA	NA	NA	NA	NA	0.9181656924759504	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr4	NA	NA	NA	NA	NA	0.934663546593838	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr5	NA	NA	NA	NA	NA	0.9427673353272659	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr6	NA	NA	NA	NA	NA	0.9103374710017207	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr7	NA	NA	NA	NA	NA	0.9293010574591072	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr8	NA	NA	NA	NA	NA	0.9342990578707282	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr9	NA	NA	NA	NA	NA	0.9236465521857564	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr10	NA	NA	NA	NA	NA	0.9379158803932254	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr11	NA	NA	NA	NA	NA	0.9339621075823319	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr12	NA	NA	NA	NA	NA	0.9215795573807949	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr13	NA	NA	NA	NA	NA	0.9524685710020728	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr14	NA	NA	NA	NA	NA	0.9198139565300649	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr15	NA	NA	NA	NA	NA	0.9233550532729333	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr16	NA	NA	NA	NA	NA	0.8836654385313965	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr17	NA	NA	NA	NA	NA	0.8905598398321334	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr18	NA	NA	NA	NA	NA	0.9009731057530839	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chr19	NA	NA	NA	NA	NA	0.8682785060342937	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed17	chrX	NA	NA	NA	NA	NA	0.8971776316010485	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr1	NA	NA	NA	NA	NA	0.934595969930089	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr2	NA	NA	NA	NA	NA	0.8724730975627227	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr3	NA	NA	NA	NA	NA	0.849862580286497	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr4	NA	NA	NA	NA	NA	0.923622623183659	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr5	NA	NA	NA	NA	NA	0.938494567227437	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr6	NA	NA	NA	NA	NA	0.911992464047546	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr7	NA	NA	NA	NA	NA	0.8556525044210032	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr8	NA	NA	NA	NA	NA	0.9143928465230157	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr9	NA	NA	NA	NA	NA	0.9223638532919746	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr10	NA	NA	NA	NA	NA	0.9364756324232714	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr11	NA	NA	NA	NA	NA	0.8502468905824063	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr12	NA	NA	NA	NA	NA	0.8228121514440834	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr13	NA	NA	NA	NA	NA	0.9332842694154135	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr14	NA	NA	NA	NA	NA	0.9153784945426259	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr15	NA	NA	NA	NA	NA	0.8740938611529334	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr16	NA	NA	NA	NA	NA	0.8808028238316986	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr17	NA	NA	NA	NA	NA	0.8709993277504608	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr18	NA	NA	NA	NA	NA	0.905534384395493	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chr19	NA	NA	NA	NA	NA	0.846140513085176	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed29	chrX	NA	NA	NA	NA	NA	0.8646728798712505	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr1	NA	NA	NA	NA	NA	0.9379593893510021	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr2	NA	NA	NA	NA	NA	0.9351144655191563	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr3	NA	NA	NA	NA	NA	0.9038266032476244	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr4	NA	NA	NA	NA	NA	0.9293275102010776	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr5	NA	NA	NA	NA	NA	0.939221774919359	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr6	NA	NA	NA	NA	NA	0.9098972112845802	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr7	NA	NA	NA	NA	NA	0.9264382764285057	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr8	NA	NA	NA	NA	NA	0.9341514828938102	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr9	NA	NA	NA	NA	NA	0.9206198172704662	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr10	NA	NA	NA	NA	NA	0.9380731501805937	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr11	NA	NA	NA	NA	NA	0.9243986902284012	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr12	NA	NA	NA	NA	NA	0.9120101611943267	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr13	NA	NA	NA	NA	NA	0.9538195293019109	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr14	NA	NA	NA	NA	NA	0.9175845873970105	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr15	NA	NA	NA	NA	NA	0.9170703003930336	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr16	NA	NA	NA	NA	NA	0.8849223637217514	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr17	NA	NA	NA	NA	NA	0.8811116458370101	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr18	NA	NA	NA	NA	NA	0.8960998604483799	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chr19	NA	NA	NA	NA	NA	0.8606363898824068	ORACLE_CONTACT_PHASE												
057B_historical_joint_partial	true_seed43	chrX	NA	NA	NA	NA	NA	0.8436747777048521	ORACLE_CONTACT_PHASE												
057B_oracle_phase_mstep	native_hickit_cis_only_seed17	chr1	37429						ORACLE_CONTACT_PHASE	188	1	1.2680716038172897	1.5646372003981321	0.7461961580989543	0.7941165861249049	0.922588129389422	0.9194523634087924	0.9210202463991073	0.1471121008042159	3.975564899780627	1.355068639129302
057B_oracle_phase_mstep	native_hickit_cis_only_seed17	chr2	31932						ORACLE_CONTACT_PHASE	173	1	1.835759285272606	2.4799265304499447	0.7801566612966092	0.84318649293175	0.9087309243110703	0.9022066359626779	0.9054687801368742	0.4900895096207778	6.042579669823618	1.4716610070592755
057B_oracle_phase_mstep	native_hickit_cis_only_seed17	chr3	30400						ORACLE_CONTACT_PHASE	156	1	1.1543994610391584	1.5478178924208583	0.9261224906493115	0.9380021367477951	0.8556398819159452	0.9035036524529911	0.8795717671844682	0.6592309272810608	4.480606580432087	1.8616213715172716
057B_oracle_phase_mstep	native_hickit_cis_only_seed17	chr4	29099						ORACLE_CONTACT_PHASE	147	1	2.212914924210627	3.085346066200249	0.7093874019936885	0.7505972939473246	0.8996477682858686	0.9048350455210453	0.902241406903457	-0.20556634353111847	7.148508384531847	1.2815179839635742
