chr1	chr2	n_bpair	n_contacts	whole_chrom_top1_accuracy	chr_pair_oracle_top1_accuracy	best_relative_flip_chr2	nearest_geometry_state_accuracy	same_cross_accuracy	pmax90_accuracy	pmax90_recall	truth_state_distance_rank_mean	truth_state_is_nearest_fraction	posterior_top1_distance_rank_mean	posterior_top1_is_nearest_fraction	posterior_top1_distance_gap_mean
chr6	chr18	34	116	0.0431034483	0.603448276	1	0.0431034483	0.0603448276	0	0	2.36206897	0.0431034483	1	1	2.36377884
chr6	chr19	64	295	0.969491525	0.969491525	0	0.969491525	0.972881356	0.974264706	0.898305085	1.03389831	0.986440678	1.00338983	0.996610169	4.67667265
chr7	chr8	1	7	0	0	0	0	0	NA	0	3	0	1	1	3.44037993
chr7	chr12	39	173	0.49132948	0.49132948	0	0.543352601	0.514450867	0.771428571	0.312138728	1.52601156	0.554913295	1.09248555	0.924855491	1.4270339
chr7	chr14	36	103	0	0	0	0	0	0	0	2.58252427	0	1	1	4.67263949
chr7	chr15	6	17	0	0	0	0	0	NA	0	4	0	1	1	1.72845764
chr7	chr18	111	410	0.00487804878	0.00487804878	0	0.00487804878	0.0170731707	0.00576368876	0.00487804878	2.76829268	0	1	1	4.54565562
chr7	chr19	12	45	0	0	0	0	0.0222222222	0	0	3	0	1	1	2.64234984
chr8	chr11	389	1600	0.253125	0.256875	1	0.25125	0.39875	0.306616962	0.205625	2.5525	0.25375	1.00625	0.99375	1.72043121
chr8	chr13	12	30	0.0333333333	0.0333333333	0	0.0333333333	1	NA	0	4	0	1	1	1.16555834
chr8	chr14	50	304	0.0328947368	0.0328947368	0	0.0328947368	0.588815789	0.0109289617	0.00657894737	2.59539474	0.0296052632	1	1	1.86932604
chr8	chr15	138	437	0.95194508	0.95194508	0	0.95194508	0.961098398	0.986522911	0.837528604	1.05263158	0.963386728	1	1	3.49976631
chr8	chr17	4	18	0.888888889	0.888888889	0	1	0.888888889	1	0.611111111	1	1	1.22222222	0.888888889	2.33219371
chr8	chr18	4	14	1	1	0	1	1	NA	0	1	1	1	1	0.274294455
chr8	chr19	35	166	0.644578313	0.644578313	0	0.644578313	0.674698795	0.711864407	0.506024096	1.54216867	0.63253012	1.04819277	0.981927711	2.78558391
chr8	chrX	5	17	0	1	1	0	0	NA	0	3.94117647	0	1	1	1.81366257
chr9	chr11	3	6	0	1	1	0	0	NA	0	3.33333333	0	1	1	0.589799766
chr9	chr12	10	45	0.977777778	0.977777778	0	0.977777778	0.977777778	0.977272727	0.955555556	1	1	1	1	5.71653735
chr9	chr16	69	161	0.0745341615	0.0745341615	0	0.118012422	0.298136646	0	0	3.37888199	0.118012422	1.08074534	0.919254658	1.28922264
chr9	chr17	104	483	0.979296066	0.979296066	0	0.983436853	0.98757764	0.984716157	0.933747412	1.01449275	0.989648033	1.01242236	0.995859213	5.68955022
chr9	chrX	35	105	0.019047619	0.019047619	0	0.019047619	0.20952381	0.0144927536	0.00952380952	4	0	1.06666667	0.971428571	2.73290432
chr10	chr12	90	295	0.989830508	0.989830508	0	0.993220339	0.996610169	1	0.749152542	1.00677966	0.996610169	1.00677966	0.996610169	3.63885976
chr10	chr13	59	201	0.925373134	0.925373134	0	0.925373134	0.925373134	0.961038961	0.368159204	1.12437811	0.940298507	1.01492537	0.995024876	2.11731914
chr10	chr14	1	1	1	1	0	1	1	NA	0	1	1	1	1	1.68232293
chr10	chr15	63	255	0.980392157	0.980392157	0	0.988235294	0.992156863	0.99382716	0.631372549	1.02352941	0.992156863	1.01568627	0.992156863	2.63468119
chr10	chr16	98	324	0.552469136	0.552469136	0	0.561728395	0.558641975	0.717741935	0.274691358	1.43518519	0.564814815	1.04320988	0.962962963	1.31536339
chr10	chr17	45	174	0.511494253	0.511494253	0	0.511494253	0.534482759	0.50931677	0.471264368	1.8045977	0.522988506	1	1	4.72709565
chr10	chr18	15	45	0.977777778	0.977777778	0	0.977777778	1	NA	0	1.06666667	0.977777778	1	1	1.06119398
chr10	chr19	2	2	0.5	0.5	0	1	0.5	NA	0	1	1	2.5	0.5	1.31986699
chr11	chr13	88	355	0.985915493	0.985915493	0	0.985915493	0.988732394	0.991150442	0.946478873	1.01690141	0.991549296	1	1	4.37308759
chr11	chr14	67	259	0.911196911	0.911196911	0	0.911196911	0.911196911	0.956521739	0.849420849	1.1003861	0.915057915	1	1	4.0354484
chr11	chr15	3	6	0.666666667	0.666666667	0	1	1	NA	0	1	1	1	1	3.93041644
chr11	chr17	4	15	1	1	0	1	1	NA	0	1	1	1	1	5.78897552
chr11	chr19	63	217	0.0138248848	0.0138248848	0	0.0138248848	0.0552995392	0.0149253731	0.0138248848	2.32718894	0.0184331797	1	1	3.90016073
chr11	chrX	97	295	0.983050847	0.983050847	0	0.986440678	0.983050847	0.989547038	0.962711864	1.02033898	0.989830508	1.00338983	0.996610169	7.07924398
chr12	chr13	266	1111	0.511251125	0.511251125	0	0.517551755	0.578757876	0.560819462	0.394239424	2.11341134	0.525652565	1.02430243	0.97569757	2.15803858
chr12	chr15	100	326	0.309815951	0.309815951	0	0.312883436	0.957055215	0.325123153	0.202453988	2.36503067	0.312883436	1.01226994	0.987730061	1.72349222
chr12	chr16	4	11	0	0.909090909	1	0	0.0909090909	NA	0	2.36363636	0	1	1	2.22938924
chr12	chr17	64	257	0.607003891	0.607003891	0	0.575875486	0.789883268	0.985074627	0.256809339	1.85603113	0.583657588	1.05058366	0.949416342	1.18520995
chr12	chr18	22	84	0.571428571	0.571428571	0	0.571428571	0.571428571	0.6	0.178571429	1.44047619	0.583333333	1	1	1.29468803
chr12	chr19	61	286	0.531468531	0.531468531	0	0.531468531	0.531468531	0.5	0.437062937	2.29020979	0.541958042	1	1	3.11301505
chr13	chr14	26	129	1	1	0	1	1	1	0.945736434	1	1	1.06976744	0.976744186	2.96287535
chr13	chr16	52	224	0.986607143	0.986607143	0	0.986607143	0.991071429	0.994736842	0.84375	1.02232143	0.986607143	1	1	3.67023627
chr13	chr17	94	330	0.945454545	0.945454545	0	0.945454545	0.951515152	0.97037037	0.793939394	1.13030303	0.951515152	1	1	2.71868895
chr13	chr18	62	177	0.491525424	0.514124294	1	0.480225989	0.491525424	0.426470588	0.163841808	1.59322034	0.485875706	1.03389831	0.988700565	1.55115204
chr13	chr19	123	366	0.87431694	0.87431694	0	0.860655738	0.887978142	0.858447489	0.513661202	1.33333333	0.871584699	1.01912568	0.980874317	2.08985682
chr13	chrX	9	24	0.916666667	0.916666667	0	0.916666667	0.916666667	0.954545455	0.875	1.08333333	0.958333333	1	1	4.58524128
chr14	chr18	52	228	0.99122807	0.99122807	0	0.99122807	0.995614035	0.990521327	0.916666667	1	1	1	1	3.6052331
chr14	chr19	8	46	0.0217391304	0.97826087	1	0.0217391304	0.0217391304	0.0217391304	0.0217391304	3	0	1	1	2.93312533
chr15	chr17	95	362	0.00552486188	0.58839779	1	0.00552486188	0.00828729282	0.00727272727	0.00552486188	2.68232044	0	1	1	4.28445901
chr15	chr18	76	339	0.0147492625	0.914454277	1	0.0147492625	0.0825958702	0.0109489051	0.00884955752	2.59882006	0.00589970501	1	1	2.96141081
chr15	chr19	34	127	0.0236220472	0.708661417	1	0.0236220472	0.291338583	0.0138888889	0.00787401575	2.73228346	0	1	1	2.90959016
chr16	chr17	2	11	0	0	0	0	1	NA	0	4	0	1	1	0.244091842
chr16	chr18	142	569	0.0702987698	0.0702987698	0	0.086115993	0.079086116	0.00238095238	0.00175746924	1.91036907	0.0896309315	1.01581722	0.984182777	1.66503694
chr16	chr19	57	189	0.761904762	0.761904762	0	0.761904762	0.767195767	0.617977528	0.291005291	1.23809524	0.761904762	1	1	1.7831716
chr17	chr19	43	148	0.0135135135	0.952702703	1	0.0135135135	0.0337837838	0.0166666667	0.0135135135	3.86486486	0	1	1	3.15804204
chr17	chrX	52	228	1	1	0	1	1	1	0.921052632	1	1	1	1	3.0120738
chr18	chr19	38	154	0.00649350649	0.506493506	1	0.00649350649	0.487012987	0	0	2.95454545	0.00649350649	1	1	1.93523986
