chrom	reference_copy	reconstruction_copy	reference_copy_index	reconstruction_copy_index	selected_by_geometry_swap	n_points	n_pairwise_distances	cis_distance_pearson	cis_distance_spearman
chr9	copy1	copy0	1	0	1	31	465	0.4746950819551862	0.4205847460459166
chr9	copy1	copy1	1	1	0	31	465	0.4498471113763225	0.31754524579050647
chr10	copy0	copy0	0	0	0	33	528	0.13368509004087412	0.18327279966529852
chr10	copy0	copy1	0	1	1	33	528	0.036968218795238934	0.10938118047500615
chr10	copy1	copy0	1	0	1	33	528	0.26885250049948156	0.2937141073881837
chr10	copy1	copy1	1	1	0	33	528	-0.013111584101676883	0.05123249982961659
chr11	copy0	copy0	0	0	1	31	465	0.337660814861601	0.3062737805955115
chr11	copy0	copy1	0	1	0	31	465	0.7040702757817475	0.7124372812901317
chr11	copy1	copy0	1	0	0	31	465	0.6371652328892305	0.6603163028066474
chr11	copy1	copy1	1	1	1	31	465	0.4770659499645753	0.4828465820391757
chr12	copy0	copy0	0	0	1	29	406	0.2157958259123004	0.1958995269340097
chr12	copy0	copy1	0	1	0	29	406	0.5825074481888944	0.5163460818633233
chr12	copy1	copy0	1	0	0	30	435	0.322293883404071	0.39367274254049567
chr12	copy1	copy1	1	1	1	30	435	0.11005559849170432	0.11448762787253057
chr13	copy0	copy0	0	0	0	30	435	0.185889323640786	0.20055996396170492
chr13	copy0	copy1	0	1	1	30	435	0.2304893358025965	0.3607165089505304
chr13	copy1	copy0	1	0	1	30	435	0.17020042911052494	0.197565519865527
chr13	copy1	copy1	1	1	0	30	435	0.18302891194384419	0.321841072868208
chr14	copy0	copy0	0	0	0	29	406	0.0925130559805364	0.1118337325233877
chr14	copy0	copy1	0	1	1	29	406	0.08260376651718371	0.1884719470926368
chr14	copy1	copy0	1	0	1	29	406	0.2533277422073704	0.23635592601109842
chr14	copy1	copy1	1	1	0	29	406	0.06059973697912402	0.14467642743504816
chr15	copy0	copy0	0	0	0	26	325	0.23837028197705346	0.21717616625592087
chr15	copy0	copy1	0	1	1	26	325	0.2134826849418055	0.22342859140405152
chr15	copy1	copy0	1	0	1	26	325	0.5282839974880319	0.4880418785940258
chr15	copy1	copy1	1	1	0	26	325	0.1969060292788985	0.21914460000349575
chr16	copy0	copy0	0	0	0	24	276	0.07485212169259674	0.08499079636420714
chr16	copy0	copy1	0	1	1	24	276	0.12404111860534697	0.12757580513976685
chr16	copy1	copy0	1	0	1	24	276	0.20908187982678364	0.26175768039839614
chr16	copy1	copy1	1	1	0	24	276	0.2884410716462735	0.24322598136442117
chr17	copy0	copy0	0	0	1	24	276	0.11095757658047044	0.08074485238509724
chr17	copy0	copy1	0	1	0	24	276	0.18134559392635918	0.1896690971875402
chr17	copy1	copy0	1	0	0	24	276	0.19881559297201404	0.1943254234385925
chr17	copy1	copy1	1	1	1	24	276	0.10470323199550496	0.12958148428247315
chr18	copy0	copy0	0	0	1	23	253	0.08252367724256016	0.08079573057320404
chr18	copy0	copy1	0	1	0	23	253	-0.0035984236128105427	-0.0035976234196021945
chr18	copy1	copy0	1	0	0	23	253	0.33351642369910434	0.262139663372118
chr18	copy1	copy1	1	1	1	23	253	-0.12247370066567084	-0.021932535112952782
chr19	copy0	copy0	0	0	1	15	105	0.42300159642829976	0.35022807381297943
chr19	copy0	copy1	0	1	0	15	105	-0.07629518989444649	-0.005276798673025087
chr19	copy1	copy0	1	0	0	15	105	0.14983102840069012	0.22452830188679243
chr19	copy1	copy1	1	1	1	15	105	0.16760107216067974	0.21231598590089157
chrX	copy0	copy0	0	0	0	37	666	0.3356538676165894	0.37896083455935115
chrX	copy0	copy1	0	1	1	37	666	0.7051074511575279	0.6512127191839968
chrX	copy1	copy0	1	0	1	38	703	0.32120347741030125	0.410610854689802
chrX	copy1	copy1	1	1	0	38	703	0.49889905182162186	0.4662528280949333
